kernel,in_ch,out_ch,stride,pad,height,width,tc1,tc2,time_ms
3,1,4,1,1,480,640,1,1,2.07222
3,1,4,1,1,480,640,1,2,1.06931
3,1,4,1,1,480,640,1,4,0.620714
3,1,4,1,1,480,640,1,8,0.419963
3,1,4,1,1,480,640,1,16,0.208906
3,1,4,1,1,480,640,1,32,0.208915
3,1,4,1,1,480,640,1,64,0.188211
3,1,4,1,1,480,640,1,128,0.209562
3,1,4,1,1,480,640,2,1,0.928184
3,1,4,1,1,480,640,2,2,0.517009
3,1,4,1,1,480,640,2,4,0.311542
3,1,4,1,1,480,640,2,8,0.208476
3,1,4,1,1,480,640,2,16,0.105359
3,1,4,1,1,480,640,2,32,0.0948941
3,1,4,1,1,480,640,2,64,0.109519
3,1,4,1,1,480,640,2,128,0.12492
3,1,4,1,1,480,640,4,1,0.465142
3,1,4,1,1,480,640,4,2,0.2594
3,1,4,1,1,480,640,4,4,0.156672
3,1,4,1,1,480,640,4,8,0.105024
3,1,4,1,1,480,640,4,16,0.0482099
3,1,4,1,1,480,640,4,32,0.0533811
3,1,4,1,1,480,640,4,64,0.0727987
3,1,4,1,1,480,640,4,128,0.159611
3,1,4,1,1,480,640,8,1,0.232284
3,1,4,1,1,480,640,8,2,0.129577
3,1,4,1,1,480,640,8,4,0.0782541
3,1,4,1,1,480,640,8,8,0.049111
3,1,4,1,1,480,640,8,16,0.037847
3,1,4,1,1,480,640,8,32,0.0453325
3,1,4,1,1,480,640,8,64,0.0813978
3,1,4,1,1,480,640,8,128,0.29933
3,1,4,1,1,480,640,16,1,0.103905
3,1,4,1,1,480,640,16,2,0.0596992
3,1,4,1,1,480,640,16,4,0.0458854
3,1,4,1,1,480,640,16,8,0.0391373
3,1,4,1,1,480,640,16,16,0.0381542
3,1,4,1,1,480,640,16,32,0.0471142
3,1,4,1,1,480,640,16,64,0.167311
3,1,4,1,1,480,640,32,1,0.0935834
3,1,4,1,1,480,640,32,2,0.0758886
3,1,4,1,1,480,640,32,4,0.0529818
3,1,4,1,1,480,640,32,8,0.0401101
3,1,4,1,1,480,640,32,16,0.0430285
3,1,4,1,1,480,640,32,32,0.0958566
3,1,4,1,1,480,640,64,1,0.0945459
3,1,4,1,1,480,640,64,2,0.0784794
3,1,4,1,1,480,640,64,4,0.0508048
3,1,4,1,1,480,640,64,8,0.0434688
3,1,4,1,1,480,640,64,16,0.0619418
3,1,4,1,1,480,640,128,1,0.0944128
3,1,4,1,1,480,640,128,2,0.0722227
3,1,4,1,1,480,640,128,4,0.0585933
3,1,4,1,1,480,640,128,8,0.0618534
3,4,8,2,1,480,640,1,1,1.89021
3,4,8,2,1,480,640,1,2,0.936537
3,4,8,2,1,480,640,1,4,0.46722
3,4,8,2,1,480,640,1,8,0.260895
3,4,8,2,1,480,640,1,16,0.157583
3,4,8,2,1,480,640,1,32,0.105615
3,4,8,2,1,480,640,1,64,0.0484045
3,4,8,2,1,480,640,1,128,0.0538378
3,4,8,2,1,480,640,2,1,0.930519
3,4,8,2,1,480,640,2,2,0.466729
3,4,8,2,1,480,640,2,4,0.234496
3,4,8,2,1,480,640,2,8,0.131338
3,4,8,2,1,480,640,2,16,0.0794272
3,4,8,2,1,480,640,2,32,0.0486502
3,4,8,2,1,480,640,2,64,0.0374477
3,4,8,2,1,480,640,2,128,0.0454042
3,4,8,2,1,480,640,4,1,0.465828
3,4,8,2,1,480,640,4,2,0.234094
